date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:37	50830/50830	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/store-locator.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/store-locator.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:37	52532/52532	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2001:23:02%20GMT	http://pixelwibes.com/template/ebazar/html/dist/ui-elements/ui-alerts.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/ui-elements/ui-alerts.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:38	81378/81378	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/admin-profile.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/admin-profile.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:38	41206/41206	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/purchase-plan.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/purchase-plan.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:38	50880/50880	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/charts.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/charts.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:38	62127/62127	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/table.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/table.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:39	52572/52572	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/forms.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/forms.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:39	1210704/1210704	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/icon.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/icon.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:40	40738/40738	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2020:03:52%20GMT	http://pixelwibes.com/template/ebazar/html/dist/help.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/help.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:40	626/626	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Sep%202021%2018:39:14%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/flag/GB.png	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/flag/GB.png	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:41	111/111	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Sep%202021%2018:38:30%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/flag/DE.png	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/flag/DE.png	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:41	110/110	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Sep%202021%2018:39:18%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/flag/FR.png	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/flag/FR.png	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:41	110/110	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Sep%202021%2018:39:40%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/flag/IT.png	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/flag/IT.png	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:41	108/108	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Sep%202021%2018:38:18%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/flag/RU.png	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/flag/RU.png	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:41	22567/22567	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2022%20Sep%202021%2023:18:02%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar1.svg	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar1.svg	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:42	9348/9348	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2022%20Sep%202021%2023:19:30%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar3.svg	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar3.svg	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:42	9725/9725	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2022%20Sep%202021%2023:20:10%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar5.svg	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar5.svg	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:42	20569/20569	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2022%20Sep%202021%2023:20:12%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar6.svg	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar6.svg	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:43	9269/9269	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2022%20Sep%202021%2023:20:14%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar7.svg	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/xs/avatar7.svg	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:43	9727/9727	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2022%20Sep%202021%2019:39:08%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/profile_av.svg	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/profile_av.svg	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:43	5854/5854	---M-Z	200	added ('OK')	text/html	date:Fri,%2024%20Sep%202021%2000:08:40%20GMT	http://pixelwibes.com/template/ebazar/html/dist/ui-elements/auth-signin.html	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/ui-elements/auth-signin.html	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:44	13786/13786	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Sep%202021%2002:04:36%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-1.jpg	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-1.jpg	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:45	11264/11264	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Sep%202021%2001:57:26%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-2.jpg	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-2.jpg	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:46	13108/13108	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Sep%202021%2001:57:34%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-3.jpg	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-3.jpg	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:47	15307/15307	---M--	200	added ('OK')	image/jpeg	date:Thu,%2009%20Sep%202021%2001:57:42%20GMT	http://pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-4.jpg	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/dist/assets/images/product/product-4.jpg	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:47	6691/6691	---M-Z	200	added ('OK')	application/javascript	etag:%22826002d-1a23-5cb072f0acd80-gzip%22	http://pixelwibes.com/template/ebazar/html/js/template.js	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/js/template.js	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
10:12:48	10595/10595	---M-Z	200	added ('OK')	application/javascript	etag:%228260015-2963-5cb0baf703b00-gzip%22	http://pixelwibes.com/template/ebazar/html/js/page/index.js	D:/Angular/DOAN5/Template/Admin/pixelwibes.com/template/ebazar/html/js/page/index.js	(from http://pixelwibes.com/template/ebazar/html/dist/index.html)
